Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
450.000000	0.00130369	450.000000	0.00150606	450.000000	0.00149531	450.000000	0.00149252	450.000000	0.00150568	450.000000	3.80627e-07	
460.000000	0.00129057	460.000000	0.00149129	460.000000	0.00148057	460.000000	0.00147782	460.000000	0.00149091	460.000000	3.72939e-07	
470.000000	0.00127801	470.000000	0.00147716	470.000000	0.00146649	470.000000	0.00146377	470.000000	0.00147679	470.000000	3.65566e-07	
480.000000	0.00126598	480.000000	0.00146364	480.000000	0.00145302	480.000000	0.00145033	480.000000	0.00146328	480.000000	3.58489e-07	
490.000000	0.00125444	490.000000	0.00145068	490.000000	0.00144012	490.000000	0.00143747	490.000000	0.00145033	490.000000	3.5169e-07	
500.000000	0.00124337	500.000000	0.00143827	500.000000	0.00142778	500.000000	0.00142515	500.000000	0.00143792	500.000000	3.45152e-07	
520.000000	0.00122253	520.000000	0.00141493	520.000000	0.0014047	520.000000	0.00140201	520.000000	0.0014146	520.000000	3.32803e-07	
540.000000	0.00120327	540.000000	0.00139341	540.000000	0.00138338	540.000000	0.00138068	540.000000	0.00139309	540.000000	3.21335e-07	
560.000000	0.00118542	560.000000	0.0013735	560.000000	0.00136362	560.000000	0.00136099	560.000000	0.00137319	560.000000	3.10656e-07	
580.000000	0.00116886	580.000000	0.00135506	580.000000	0.00134534	580.000000	0.00134275	580.000000	0.00135476	580.000000	3.00687e-07	
600.000000	0.00115345	600.000000	0.00133793	600.000000	0.00132836	600.000000	0.00132582	600.000000	0.00133764	600.000000	2.91358e-07	
620.000000	0.0011391	620.000000	0.00132199	620.000000	0.0013126	620.000000	0.00131009	620.000000	0.00132171	620.000000	2.82608e-07	
640.000000	0.0011257	640.000000	0.00130713	640.000000	0.00129798	640.000000	0.00129543	640.000000	0.00130686	640.000000	2.74386e-07	
660.000000	0.00111318	660.000000	0.00129326	660.000000	0.00128434	660.000000	0.00128175	660.000000	0.001293	660.000000	2.66644e-07	
680.000000	0.00110146	680.000000	0.0012803	680.000000	0.00127153	680.000000	0.00126897	680.000000	0.00128004	680.000000	2.5934e-07	
700.000000	0.00109047	700.000000	0.00126816	700.000000	0.00125952	700.000000	0.00125701	700.000000	0.00126791	700.000000	2.52439e-07	
720.000000	0.00108017	720.000000	0.00125678	720.000000	0.00124828	720.000000	0.00124579	720.000000	0.00125654	720.000000	2.45907e-07	
740.000000	0.00107049	740.000000	0.0012461	740.000000	0.00123773	740.000000	0.00123527	740.000000	0.00124586	740.000000	2.39716e-07	
760.000000	0.0010614	760.000000	0.00123607	760.000000	0.0012278	760.000000	0.00122537	760.000000	0.00123583	760.000000	2.33838e-07	
780.000000	0.00105284	780.000000	0.00122663	780.000000	0.00121847	780.000000	0.00121607	780.000000	0.0012264	780.000000	2.28251e-07	
800.000000	0.00104478	800.000000	0.00121775	800.000000	0.00120972	800.000000	0.0012073	800.000000	0.00121753	800.000000	2.22933e-07	
820.000000	0.00103718	820.000000	0.00120938	820.000000	0.00120149	820.000000	0.00119904	820.000000	0.00120916	820.000000	2.17866e-07	
840.000000	0.00103002	840.000000	0.00120149	840.000000	0.00119371	840.000000	0.00119123	840.000000	0.00120128	840.000000	2.13031e-07	
860.000000	0.00102327	860.000000	0.00119404	860.000000	0.00118633	860.000000	0.00118387	860.000000	0.00119384	860.000000	2.08413e-07	
880.000000	0.00101689	880.000000	0.00118701	880.000000	0.00117933	880.000000	0.0011769	880.000000	0.00118681	880.000000	2.03997e-07	
900.000000	0.00101087	900.000000	0.00118037	900.000000	0.00117271	900.000000	0.0011703	900.000000	0.00118017	900.000000	1.9977e-07	
920.000000	0.00100518	920.000000	0.0011741	920.000000	0.00116645	920.000000	0.00116406	920.000000	0.0011739	920.000000	1.9572e-07	
940.000000	0.000999805	940.000000	0.00116816	940.000000	0.00116051	940.000000	0.00115814	940.000000	0.00116797	940.000000	1.91837e-07	
960.000000	0.000994725	960.000000	0.00116255	960.000000	0.00115489	960.000000	0.00115253	960.000000	0.00116236	960.000000	1.8811e-07	
980.000000	0.000989923	980.000000	0.00115723	980.000000	0.00114955	980.000000	0.0011472	980.000000	0.00115705	980.000000	1.84529e-07	
1000.000000	0.000985384	1000.000000	0.0011522	1000.000000	0.00114448	1000.000000	0.00114215	1000.000000	0.00115202	1000.000000	1.81087e-07	
1020.000000	0.000981092	1020.000000	0.00114744	1020.000000	0.00113966	1020.000000	0.00113734	1020.000000	0.00114726	1020.000000	1.77774e-07	
1040.000000	0.000977035	1040.000000	0.00114293	1040.000000	0.00113507	1040.000000	0.00113278	1040.000000	0.00114276	1040.000000	1.74585e-07	
1060.000000	0.000973199	1060.000000	0.00113866	1060.000000	0.00113071	1060.000000	0.00112843	1060.000000	0.00113849	1060.000000	1.71511e-07	
1080.000000	0.000969574	1080.000000	0.00113461	1080.000000	0.00112656	1080.000000	0.0011243	1080.000000	0.00113444	1080.000000	1.68548e-07	
1100.000000	0.000966148	1100.000000	0.00113078	1100.000000	0.00112262	1100.000000	0.00112036	1100.000000	0.00113061	1100.000000	1.65688e-07	
1120.000000	0.000962912	1120.000000	0.00112715	1120.000000	0.00111887	1120.000000	0.00111661	1120.000000	0.00112698	1120.000000	1.62927e-07	
1140.000000	0.000959856	1140.000000	0.0011237	1140.000000	0.00111531	1140.000000	0.00111304	1140.000000	0.00112354	1140.000000	1.60259e-07	
