Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
1260.000000	0.00182748	1260.000000	0.00183704	1260.000000	0.00182503	1260.000000	0.00182091	1260.000000	0.00183682	1260.000000	2.21118e-07	
1280.000000	0.00182359	1280.000000	0.00183338	1280.000000	0.00182115	1280.000000	0.00181706	1280.000000	0.00183317	1280.000000	2.17904e-07	
1300.000000	0.00181994	1300.000000	0.00182993	1300.000000	0.00181746	1300.000000	0.00181339	1300.000000	0.00182972	1300.000000	2.14786e-07	
1320.000000	0.00181653	1320.000000	0.00182668	1320.000000	0.00181394	1320.000000	0.00180989	1320.000000	0.00182647	1320.000000	2.11759e-07	
1340.000000	0.00181333	1340.000000	0.00182362	1340.000000	0.00181058	1340.000000	0.00180655	1340.000000	0.00182341	1340.000000	2.08819e-07	
1360.000000	0.00181034	1360.000000	0.00182074	1360.000000	0.00180738	1360.000000	0.00180336	1360.000000	0.00182053	1360.000000	2.05962e-07	
1380.000000	0.00180756	1380.000000	0.00181804	1380.000000	0.00180433	1380.000000	0.00180032	1380.000000	0.00181783	1380.000000	2.03185e-07	
1400.000000	0.00180497	1400.000000	0.0018155	1400.000000	0.00180142	1400.000000	0.00179743	1400.000000	0.0018153	1400.000000	2.00485e-07	
1420.000000	0.00180256	1420.000000	0.00181312	1420.000000	0.00179865	1420.000000	0.00179466	1420.000000	0.00181292	1420.000000	1.97857e-07	
1440.000000	0.00180034	1440.000000	0.00181089	1440.000000	0.00179599	1440.000000	0.00179202	1440.000000	0.0018107	1440.000000	1.953e-07	
1460.000000	0.00179829	1460.000000	0.00180882	1460.000000	0.00179346	1460.000000	0.00178951	1460.000000	0.00180862	1460.000000	1.9281e-07	
1480.000000	0.0017964	1480.000000	0.00180688	1480.000000	0.00179105	1480.000000	0.00178711	1480.000000	0.00180669	1480.000000	1.90386e-07	
