Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
350.000000	0.00476349	350.000000	0.0034741	350.000000	0.00345747	350.000000	0.0034498	350.000000	0.00347331	350.000000	7.91428e-07	
360.000000	0.00469446	360.000000	0.00342767	360.000000	0.00341079	360.000000	0.00340306	360.000000	0.0034269	360.000000	7.71355e-07	
370.000000	0.00462907	370.000000	0.00338374	370.000000	0.00336644	370.000000	0.00335888	370.000000	0.00338299	370.000000	7.52315e-07	
380.000000	0.00456703	380.000000	0.00334212	380.000000	0.00332449	380.000000	0.00331706	380.000000	0.00334139	380.000000	7.34231e-07	
390.000000	0.0045081	390.000000	0.00330264	390.000000	0.00328475	390.000000	0.00327742	390.000000	0.00330192	390.000000	7.17031e-07	
400.000000	0.00445206	400.000000	0.00326514	400.000000	0.003247	400.000000	0.00323982	400.000000	0.00326444	400.000000	7.00651e-07	
410.000000	0.00439871	410.000000	0.00322948	410.000000	0.00321121	410.000000	0.0032041	410.000000	0.0032288	410.000000	6.85032e-07	
420.000000	0.00434786	420.000000	0.00319554	420.000000	0.00317735	420.000000	0.00317014	420.000000	0.00319487	420.000000	6.70123e-07	
430.000000	0.00429935	430.000000	0.0031632	430.000000	0.00314515	430.000000	0.00313781	430.000000	0.00316255	430.000000	6.55875e-07	
440.000000	0.00425303	440.000000	0.00313236	440.000000	0.00311433	440.000000	0.00310702	440.000000	0.00313171	440.000000	6.42244e-07	
450.000000	0.00420876	450.000000	0.00310291	450.000000	0.00308484	450.000000	0.00307765	450.000000	0.00310228	450.000000	6.29191e-07	
460.000000	0.00416641	460.000000	0.00307477	460.000000	0.00305672	460.000000	0.00304963	460.000000	0.00307416	460.000000	6.1668e-07	
470.000000	0.00412587	470.000000	0.00304787	470.000000	0.00302987	470.000000	0.00302286	470.000000	0.00304726	470.000000	6.04676e-07	
480.000000	0.00408702	480.000000	0.00302211	480.000000	0.00300426	480.000000	0.00299734	480.000000	0.00302152	480.000000	5.9315e-07	
490.000000	0.00404977	490.000000	0.00299745	490.000000	0.0029798	490.000000	0.00297298	490.000000	0.00299687	490.000000	5.82072e-07	
500.000000	0.00401403	500.000000	0.00297381	500.000000	0.00295644	500.000000	0.00294966	500.000000	0.00297324	500.000000	5.71417e-07	
520.000000	0.00394675	520.000000	0.00292937	520.000000	0.00291282	520.000000	0.00290588	520.000000	0.00292881	520.000000	5.51281e-07	
540.000000	0.00388456	540.000000	0.00288837	540.000000	0.00287254	540.000000	0.00286559	540.000000	0.00288784	540.000000	5.3257e-07	
560.000000	0.00382696	560.000000	0.00285047	560.000000	0.0028352	560.000000	0.0028284	560.000000	0.00284996	560.000000	5.15135e-07	
580.000000	0.00377348	580.000000	0.00281535	580.000000	0.00280071	580.000000	0.00279402	580.000000	0.00281485	580.000000	4.98849e-07	
