Energy (MeV/u)1	0 - [He-base] F.Hubert et al, AD&ND Tables 46(1990)1	Energy (MeV/u)2	1 - [H -base] J.F.Ziegler et al, Pergamon Press, NY (low energy)	Energy (MeV/u)3	2 - ATIMA 1.2  LS-theory (recommended for high energy)	Energy (MeV/u)4	3 - ATIMA 1.2  without LS-correction	Energy (MeV/u)5	4 - electrical component of [1] - J.F.Ziegler et al	Energy (MeV/u)6	5 - nuclear component of [1] - J.F.Ziegler et al	
180.000000	0.00361993	180.000000	0.00365277	180.000000	0.00359354	180.000000	0.00358781	180.000000	0.00365155	180.000000	1.21984e-06	
185.000000	0.00355686	185.000000	0.00358894	185.000000	0.00353023	185.000000	0.00352463	185.000000	0.00358775	185.000000	1.18955e-06	
190.000000	0.00349692	190.000000	0.00352834	190.000000	0.00347008	190.000000	0.00346463	190.000000	0.00352718	190.000000	1.16078e-06	
195.000000	0.00343988	195.000000	0.00347073	195.000000	0.00341307	195.000000	0.00340759	195.000000	0.00346959	195.000000	1.13342e-06	
200.000000	0.00338553	200.000000	0.00341589	200.000000	0.00335894	200.000000	0.00335329	200.000000	0.00341478	200.000000	1.10738e-06	
210.000000	0.00328416	210.000000	0.00331377	210.000000	0.00325772	210.000000	0.00325217	210.000000	0.00331271	210.000000	1.05884e-06	
220.000000	0.00319152	220.000000	0.00322063	220.000000	0.0031653	220.000000	0.00315995	220.000000	0.00321962	220.000000	1.01453e-06	
230.000000	0.00310651	230.000000	0.00313533	230.000000	0.00308063	230.000000	0.00307549	230.000000	0.00313436	230.000000	9.73916e-07	
240.000000	0.00302823	240.000000	0.00305693	240.000000	0.00300316	240.000000	0.00299788	240.000000	0.003056	240.000000	9.36541e-07	
250.000000	0.00295589	250.000000	0.00298463	250.000000	0.00293162	250.000000	0.00292633	250.000000	0.00298373	250.000000	9.02029e-07	
260.000000	0.00288885	260.000000	0.00291774	260.000000	0.00286527	260.000000	0.00286015	260.000000	0.00291687	260.000000	8.70062e-07	
270.000000	0.00282655	270.000000	0.00285569	270.000000	0.00280376	270.000000	0.00279879	270.000000	0.00285485	270.000000	8.40363e-07	
280.000000	0.00276849	280.000000	0.00279798	280.000000	0.00274659	280.000000	0.00274173	280.000000	0.00279717	280.000000	8.12697e-07	
